,reward,performance,loss,episode,episode_smooth,reward_smooth,performance_smooth,loss_smooth
0,-83.0,-83.0,71.56247686010006,0.0,,,,
1,-24.0,-39.0,2468.4444,1.0,,,,
2,-82.0,-82.0,69.66663621000001,2.0,,,,
3,-37.0,-47.0,2466.675174556882,3.0,,,,
4,-23.0,-33.0,2542.5192580929624,4.0,,,,
5,-26.0,-36.0,2002.4335169450487,5.0,,,,
6,-80.0,-85.0,104.05661266207869,6.0,,,,
7,-71.0,-76.0,107.27048140445974,7.0,,,,
8,26.0,11.0,4863.335981583163,8.0,,,,
9,-79.0,-79.0,59.115868091030656,9.0,,,,
10,-74.0,-74.0,36.3916095323368,10.0,,,,
11,-17.0,-27.0,2050.2719362173602,11.0,,,,
12,-79.0,-79.0,54.55262239717378,12.0,,,,
13,-77.0,-87.0,57.101465025194194,13.0,,,,
14,-80.0,-85.0,58.15742619673675,14.0,,,,
15,-22.0,-32.0,2453.681167133629,15.0,,,,
16,-18.0,-28.0,1403.3292291182347,16.0,,,,
17,-30.0,-35.0,2471.3408217653127,17.0,,,,
18,-72.0,-72.0,47.10834815218083,18.0,,,,
19,-68.0,-68.0,37.59686957659845,19.0,,,,
20,-16.0,-26.0,1420.144151643187,20.0,,,,
21,-25.0,-40.0,1645.4593384007965,21.0,,,,
22,-18.0,-28.0,1023.075272691752,22.0,,,,
23,-26.0,-36.0,907.947942174157,23.0,,,,
24,-12.0,-17.0,811.1741958870977,24.0,,,,
25,-12.0,-17.0,2339.2618093328956,25.0,,,,
26,-20.0,-25.0,1776.877539626167,26.0,,,,
27,-22.0,-27.0,824.546435000487,27.0,,,,
28,-16.0,-26.0,4050.4384121684006,28.0,,,,
29,-7.0,-17.0,581.3700494624782,29.0,,,,
30,-7.0,-12.0,1755.8381511305918,30.0,,,,
31,-6.0,-16.0,883.437096165355,31.0,,,,
32,-8.0,-18.0,6637.825806072076,32.0,,,,
33,1.0,-9.0,453.44152147612584,33.0,,,,
34,-11.0,-16.0,1212.7615186658318,34.0,,,,
35,-3.0,-13.0,397.3758924334914,35.0,,,,
36,-4.0,-14.0,2616.392387776309,36.0,,,,
37,-3.0,-13.0,2820.51371952708,37.0,,,,
38,-9.0,-19.0,1779.512523378146,38.0,,,,
39,8.0,-2.0,1676.8416503626838,39.0,,,,
40,10.0,0.0,2429.8406496217262,40.0,,,,
41,69.0,59.0,3201.3956507944195,41.0,,,,
42,2.0,-3.0,1399.7976052764157,42.0,,,,
43,-1.0,-6.0,575.3280041717068,43.0,,,,
44,4.0,-6.0,197.83153539225913,44.0,,,,
45,18.0,8.0,774.1458509887977,45.0,,,,
46,4.0,-1.0,166.20487333546507,46.0,,,,
47,9.0,4.0,748.4461134703871,47.0,,,,
48,8.0,3.0,884.6772420928836,48.0,,,,
49,4.0,-6.0,5444.823887461908,49.0,,,,
50,16.0,11.0,117.9669885233294,50.0,,,,
51,14.0,4.0,2909.9625320926525,51.0,,,,
52,12.0,7.0,3232.768253133638,52.0,,,,
53,10.0,0.0,1591.218333393349,53.0,,,,
54,9.0,-1.0,724.701497949654,54.0,,,,
55,14.0,4.0,300.72333299505226,55.0,,,,
56,21.0,16.0,1643.2017073931438,56.0,,,,
57,21.0,16.0,2815.590438694641,57.0,,,,
58,22.0,17.0,44.707138716968245,58.0,,,,
59,20.0,10.0,44.10764770116452,59.0,,,,
60,13.0,3.0,1459.1427730293224,60.0,,,,
61,29.0,19.0,30.825290998504986,61.0,,,,
62,23.0,13.0,885.5716277195597,62.0,,,,
63,24.0,19.0,1256.9385095619414,63.0,,,,
64,24.0,14.0,2270.346012868575,64.0,,,,
65,19.0,14.0,2766.610236281167,65.0,,,,
66,-29.0,-29.0,151.77273138908012,66.0,,,,
67,18.0,13.0,807.0992267524155,67.0,,,,
68,29.0,19.0,11.361819800173778,68.0,,,,
69,31.0,26.0,2034.523581644658,69.0,,,,
70,29.0,24.0,2240.8365777161107,70.0,,,,
71,30.0,20.0,1046.006065446962,71.0,,,,
72,36.0,31.0,833.9375440593709,72.0,,,,
73,32.0,27.0,8.170130198221143,73.0,,,,
74,33.0,28.0,182.29528481520708,74.0,,,,
75,30.0,20.0,4.715031728399461,75.0,,,,
76,32.0,27.0,4.649420784682235,76.0,,,,
77,40.0,35.0,3.3649613654165638,77.0,,,,
78,38.0,33.0,2.9225101428340494,78.0,,,,
79,40.0,35.0,2.5589947552480927,79.0,,,,
80,38.0,28.0,1003.1593054646258,80.0,,,,
81,44.0,39.0,1.8981939695859291,81.0,,,,
82,39.0,34.0,1.68582771171376,82.0,,,,
83,39.0,29.0,1.503666733885654,83.0,,,,
84,45.0,40.0,1.2225597936553663,84.0,,,,
85,43.0,33.0,1.0624162424408299,85.0,,,,
86,45.0,35.0,0.9107122676964943,86.0,,,,
87,44.0,39.0,813.361501077697,87.0,,,,
88,47.0,42.0,0.6719111321093744,88.0,,,,
89,47.0,42.0,0.5772606721314812,89.0,,,,
90,47.0,42.0,0.4955328793040304,90.0,,,,
91,47.0,42.0,0.4250333135570034,91.0,,,,
92,47.0,42.0,0.3642778047379756,92.0,,,,
93,47.0,42.0,0.31196839859734216,93.0,,,,
94,47.0,42.0,0.2669716999373583,94.0,,,,
95,47.0,42.0,0.22829943798099847,95.0,,,,
96,47.0,42.0,0.1950910791329162,96.0,,,,
97,47.0,42.0,0.16659831571633213,97.0,,,,
98,47.0,42.0,0.14217126513913908,98.0,,,,
99,47.0,42.0,0.12124622157718282,99.0,49.5,4.76,-2.19,1061.1870547463423
