,reward,performance,loss,episode,episode_smooth,reward_smooth,performance_smooth,loss_smooth
0,35.0,25.0,2406.244309908948,0.0,,,,
1,-80.0,-90.0,67.28731004652055,1.0,,,,
2,-75.0,-85.0,35.62140095349896,2.0,,,,
3,25.0,15.0,1976.2829620632242,3.0,,,,
4,20.0,10.0,1643.0021898471728,4.0,,,,
5,-6.0,-16.0,2442.3401456431156,5.0,,,,
6,19.0,9.0,2409.6577930434905,6.0,,,,
7,-77.0,-87.0,165.76235172654967,7.0,,,,
8,-7.0,-17.0,1395.4032106551022,8.0,,,,
9,-76.0,-86.0,71.71791799141683,9.0,,,,
10,25.0,15.0,1371.0598249462976,10.0,,,,
11,-12.0,-22.0,1147.398829067549,11.0,,,,
12,40.0,30.0,2418.52115853054,12.0,,,,
13,15.0,5.0,2716.0476817685753,13.0,,,,
14,9.0,-1.0,948.8587576393493,14.0,,,,
15,23.0,13.0,840.6291454632129,15.0,,,,
16,34.0,24.0,2379.0567114835367,16.0,,,,
17,40.0,30.0,1604.040472922931,17.0,,,,
18,44.0,34.0,646.5385979677412,18.0,,,,
19,12.0,2.0,1989.9424318844547,19.0,,,,
20,-5.0,-5.0,2432.9406238616157,20.0,,,,
21,-64.0,-74.0,55.74608862558858,21.0,,,,
22,33.0,23.0,4271.217220408414,22.0,,,,
23,27.0,17.0,3509.6516865844937,23.0,,,,
24,29.0,19.0,4254.95912752474,24.0,,,,
25,35.0,35.0,1944.136704899238,25.0,,,,
26,32.0,22.0,1619.754673853597,26.0,,,,
27,-3.0,-3.0,1717.0671065085696,27.0,,,,
28,40.0,30.0,2505.172252885136,28.0,,,,
29,35.0,35.0,1542.870066871413,29.0,,,,
30,36.0,26.0,3024.468428689238,30.0,,,,
31,41.0,31.0,1136.5511431703578,31.0,,,,
32,44.0,34.0,747.3023415272743,32.0,,,,
33,31.0,21.0,1085.6861591335455,33.0,,,,
34,41.0,31.0,1998.7594326531942,34.0,,,,
35,28.0,18.0,2843.9339500865017,35.0,,,,
36,41.0,31.0,1661.9867686595262,36.0,,,,
37,28.0,18.0,1346.5196535065265,37.0,,,,
38,43.0,33.0,1522.514631724329,38.0,,,,
39,44.0,34.0,1249.978674569401,39.0,,,,
40,30.0,20.0,4865.358299342183,40.0,,,,
41,45.0,35.0,312.5794034431897,41.0,,,,
42,32.0,22.0,3623.392797238389,42.0,,,,
43,41.0,31.0,974.5048357147886,43.0,,,,
44,43.0,33.0,597.4829344286521,44.0,,,,
45,10.0,0.0,1410.477991519463,45.0,,,,
46,41.0,31.0,1079.3156039927771,46.0,,,,
47,35.0,25.0,2982.4462978599418,47.0,,,,
48,44.0,34.0,426.05233129238155,48.0,,,,
49,45.0,35.0,229.15139874492579,49.0,,,,
50,44.0,34.0,944.2946125392732,50.0,,,,
51,44.0,34.0,815.9454892787556,51.0,,,,
52,45.0,35.0,626.4478165293101,52.0,,,,
53,39.0,29.0,2521.139968304931,53.0,,,,
54,45.0,35.0,180.77420630847072,54.0,,,,
55,40.0,30.0,3198.2600110334383,55.0,,,,
56,42.0,32.0,864.9683955805353,56.0,,,,
57,41.0,31.0,1472.5660133885171,57.0,,,,
58,43.0,33.0,595.0860276724269,58.0,,,,
59,45.0,35.0,138.95750639223365,59.0,,,,
60,43.0,33.0,572.169804711058,60.0,,,,
61,43.0,33.0,1037.4822909946915,61.0,,,,
62,43.0,33.0,2011.9432503928379,62.0,,,,
63,45.0,35.0,106.08712916799924,63.0,,,,
64,44.0,34.0,407.2685642371505,64.0,,,,
65,43.0,33.0,921.7360330754847,65.0,,,,
66,43.0,33.0,706.9545384374595,66.0,,,,
67,43.0,33.0,666.8750662829897,67.0,,,,
68,44.0,34.0,677.2398875107095,68.0,,,,
69,40.0,30.0,2190.905441097266,69.0,,,,
70,45.0,35.0,478.09181340918923,70.0,,,,
71,41.0,31.0,1734.6155303089488,71.0,,,,
72,45.0,35.0,52.73779148090355,72.0,,,,
73,45.0,35.0,48.070017796004976,73.0,,,,
74,45.0,35.0,43.79493966762406,74.0,,,,
75,44.0,34.0,484.6331308443155,75.0,,,,
76,45.0,35.0,36.282877939947305,76.0,,,,
77,43.0,33.0,651.449530271002,77.0,,,,
78,45.0,35.0,29.963942805271444,78.0,,,,
79,45.0,35.0,27.192230056149395,79.0,,,,
80,45.0,35.0,24.652154000033917,80.0,,,,
81,45.0,35.0,22.325889013100443,81.0,,,,
82,45.0,35.0,20.197119785607686,82.0,,,,
83,45.0,35.0,18.250832715691498,83.0,,,,
84,45.0,35.0,16.473151656688007,84.0,,,,
85,45.0,35.0,14.851207882607097,85.0,,,,
86,45.0,35.0,13.373036393238111,86.0,,,,
87,45.0,35.0,12.027492430675894,87.0,,,,
88,45.0,35.0,10.80418344239534,88.0,,,,
89,45.0,35.0,9.693412792027548,89.0,,,,
90,45.0,35.0,8.686132355219637,90.0,,,,
91,45.0,35.0,7.77390179543725,91.0,,,,
92,45.0,35.0,6.948852832145193,92.0,,,,
93,45.0,35.0,6.203657221231128,93.0,,,,
94,45.0,35.0,5.531497487782805,94.0,,,,
95,45.0,35.0,4.926039702256,95.0,,,,
96,45.0,35.0,4.381407786689999,96.0,,,,
97,45.0,35.0,3.892158989031902,97.0,,,,
98,45.0,35.0,3.4532602796485468,98.0,,,,
99,45.0,35.0,3.060065511836979,99.0,49.5,31.12,21.52,1101.0883114446085
