,reward,performance,loss,episode,episode_smooth,reward_smooth,performance_smooth,loss_smooth
0,-83.0,-83.0,44.0,0.0,,,,
1,-24.0,-39.0,2447.0,1.0,,,,
2,-82.0,-82.0,40.0,2.0,,,,
3,-29.0,-39.0,2449.0,3.0,,,,
4,-24.0,-34.0,2422.0,4.0,,,,
5,-82.0,-82.0,30.0,5.0,,,,
6,-74.0,-79.0,6985.640300000001,6.0,,,,
7,-77.0,-77.0,4426.56363602,7.0,,,,
8,-81.0,-81.0,54667.83178940329,8.0,,,,
9,-34.0,-34.0,36130.44995913897,9.0,,,,
10,-81.0,-81.0,33246.564710094644,10.0,,,,
11,-76.0,-76.0,28271.96006381006,11.0,,,,
12,-23.0,-33.0,2430.0,12.0,,,,
13,-30.0,-40.0,10566.866761325738,13.0,,,,
14,-28.0,-38.0,2296.2001,14.0,,,,
15,-32.0,-32.0,4516.0396988516,15.0,,,,
16,-78.0,-78.0,31321.966411326506,16.0,,,,
17,-27.0,-32.0,23717.116578434434,17.0,,,,
18,-81.0,-81.0,12690.84566101348,18.0,,,,
19,-28.0,-33.0,12583.034645912156,19.0,,,,
20,-81.0,-81.0,21493.189213735433,20.0,,,,
21,-26.0,-36.0,8876.12727204,21.0,,,,
22,-32.0,-42.0,1999.0187512326543,22.0,,,,
23,-35.0,-45.0,32.0,23.0,,,,
24,-73.0,-73.0,3220.868583575157,24.0,,,,
25,-36.0,-41.0,10430.370813416403,25.0,,,,
26,-78.0,-88.0,4656.4202000000005,26.0,,,,
27,-36.0,-46.0,8630.255751371611,27.0,,,,
28,-25.0,-30.0,15206.835064417679,28.0,,,,
29,-32.0,-42.0,4237.551573974254,29.0,,,,
30,-29.0,-39.0,8.0,30.0,,,,
31,21.0,6.0,2422.0,31.0,,,,
32,-26.0,-36.0,18.0,32.0,,,,
33,-31.0,-41.0,11.445385301052156,33.0,,,,
34,-29.0,-39.0,7802.235387944538,34.0,,,,
35,-30.0,-40.0,6.0,35.0,,,,
36,-24.0,-34.0,9958.195900362614,36.0,,,,
37,-22.0,-27.0,8.0,37.0,,,,
38,-33.0,-43.0,8933.159437352322,38.0,,,,
39,-32.0,-42.0,6951.722018009999,39.0,,,,
40,-23.0,-33.0,3.0,40.0,,,,
41,-27.0,-32.0,1.0,41.0,,,,
42,-24.0,-29.0,0.0,42.0,,,,
43,-23.0,-38.0,10593.229793406404,43.0,,,,
44,-90.0,-95.0,12205.86174335491,44.0,,,,
45,-82.0,-87.0,33821.74868459688,45.0,,,,
46,-31.0,-41.0,14100.616744469964,46.0,,,,
47,-76.0,-76.0,22519.486424332194,47.0,,,,
48,-26.0,-41.0,4616.4202000000005,48.0,,,,
49,-31.0,-36.0,1503.351163679818,49.0,,,,
50,-35.0,-40.0,4024.3911728258545,50.0,,,,
51,-37.0,-47.0,10918.292086616533,51.0,,,,
52,-28.0,-38.0,40.96467239472721,52.0,,,,
53,-30.0,-30.0,2289.2001,53.0,,,,
54,-31.0,-36.0,11805.694752963436,54.0,,,,
55,-19.0,-29.0,0.0,55.0,,,,
56,-31.0,-41.0,15006.43544493259,56.0,,,,
57,-29.0,-39.0,0.0,57.0,,,,
58,-22.0,-32.0,16.0,58.0,,,,
59,-18.0,-28.0,4175.517908755966,59.0,,,,
60,-32.0,-42.0,0.0,60.0,,,,
61,-17.0,-22.0,0.0,61.0,,,,
62,-25.0,-30.0,4.0,62.0,,,,
63,-18.0,-28.0,0.0,63.0,,,,
64,-23.0,-23.0,20370.0473708916,64.0,,,,
65,-14.0,-24.0,10039.683395392969,65.0,,,,
66,-16.0,-26.0,0.0,66.0,,,,
67,-26.0,-36.0,2077.039698851601,67.0,,,,
68,-13.0,-23.0,0.0,68.0,,,,
69,-26.0,-36.0,9.0,69.0,,,,
70,-72.0,-72.0,35.0,70.0,,,,
71,-17.0,-27.0,0.0,71.0,,,,
72,-22.0,-32.0,2.048585496099429,72.0,,,,
73,-11.0,-21.0,1.0,73.0,,,,
74,-21.0,-31.0,28.0,74.0,,,,
75,-17.0,-27.0,1948.3514739742538,75.0,,,,
76,-73.0,-83.0,36.23372166320198,76.0,,,,
77,50.0,35.0,6637.845454029999,77.0,,,,
78,-13.0,-23.0,0.0,78.0,,,,
79,-25.0,-25.0,2425.0,79.0,,,,
80,59.0,44.0,4154.079397703202,80.0,,,,
81,41.0,26.0,6812.890596851601,81.0,,,,
82,-13.0,-23.0,2.0,82.0,,,,
83,-15.0,-20.0,20.0,83.0,,,,
84,-14.0,-19.0,0.0,84.0,,,,
85,-25.0,-45.0,21891.976324559055,85.0,,,,
86,-27.0,-37.0,1.0,86.0,,,,
87,-21.0,-31.0,3646.1559902413364,87.0,,,,
88,-84.0,-89.0,4193.079397703202,88.0,,,,
89,-17.0,-22.0,0.0,89.0,,,,
90,-14.0,-24.0,0.0,90.0,,,,
91,-22.0,-32.0,7.0,91.0,,,,
92,-12.0,-22.0,0.0,92.0,,,,
93,-24.0,-34.0,4565.50191801,93.0,,,,
94,-21.0,-26.0,5852.200178411061,94.0,,,,
95,54.0,39.0,18138.04528949487,95.0,,,,
96,-20.0,-30.0,0.0,96.0,,,,
97,-14.0,-24.0,1.0,97.0,,,,
98,-5.0,-10.0,0.0,98.0,,,,
99,54.0,39.0,7956.59511104527,99.0,49.5,-30.47,-38.17,6546.804604647132
100,28.0,13.0,17434.161761497202,100.0,50.5,-29.36,-37.21,6720.706222262104
101,-7.0,-17.0,0.0,101.0,51.5,-29.19,-36.99,6696.236222262104
102,-14.0,-24.0,0.0,102.0,52.5,-28.51,-36.41,6695.8362222621045
103,-19.0,-24.0,0.0,103.0,53.5,-28.41,-36.26,6671.346222262105
104,52.0,37.0,2417.0,104.0,54.5,-27.65,-35.55,6671.2962222621045
105,-33.0,-33.0,31.0,105.0,55.5,-27.16,-35.06,6671.306222262105
106,44.0,29.0,4487.0396988516,106.0,56.5,-25.98,-33.98,6646.3202162506195
107,38.0,23.0,14230.644967077105,107.0,57.5,-24.83,-32.98,6744.361029561191
108,60.0,45.0,5442.384478394222,108.0,58.5,-23.42,-31.72,6252.106556451101
109,57.0,42.0,7815.05137888848,109.0,59.5,-22.51,-30.96,5968.9525706485965
110,-9.0,-14.0,0.0,110.0,60.5,-21.79,-30.29,5636.486923547648
111,32.0,12.0,25194.458365317976,111.0,61.5,-20.71,-29.41,5605.7119065627285
112,-17.0,-22.0,0.0,112.0,62.5,-20.65,-29.3,5581.411906562728
113,70.0,55.0,5939.982957588891,113.0,63.5,-19.65,-28.35,5535.143068525359
114,-10.0,-10.0,10.0,114.0,64.5,-19.47,-28.07,5512.2810675253595
115,-12.0,-17.0,1008.1026595046989,115.0,65.5,-19.27,-27.92,5477.20169713189
116,24.0,9.0,21138.024033462156,116.0,66.5,-18.25,-27.05,5375.3622733532475
117,59.0,44.0,12868.476779992841,117.0,67.5,-17.39,-26.29,5266.875875368831
118,-11.0,-11.0,3.0,118.0,68.5,-16.69,-25.59,5139.997418758697
119,42.0,27.0,22326.809478377927,119.0,69.5,-15.99,-24.99,5237.435167083354
120,52.0,37.0,8284.957223460777,120.0,70.5,-14.66,-23.81,5105.352847180608
121,-16.0,-21.0,8382.68963020839,121.0,71.5,-14.56,-23.66,5100.418470762292
122,61.0,46.0,5028.060223623331,122.0,72.5,-13.63,-22.78,5130.708885486198
123,49.0,34.0,983.065037727893,123.0,73.5,-12.79,-21.99,5140.219535863477
124,52.0,37.0,4230.1443869683,124.0,74.5,-11.54,-20.89,5150.312293897408
125,65.0,50.0,1530.9062272888605,125.0,75.5,-10.53,-19.98,5061.317648036133
126,-5.0,-15.0,8742.31264182356,126.0,76.5,-9.8,-19.25,5102.176572454368
127,58.0,43.0,3884.190868540657,127.0,77.5,-8.86,-18.36,5054.7159236260595
128,32.0,17.0,10119.307266880589,128.0,78.5,-8.29,-17.89,5003.840645650688
129,68.0,53.0,1829.9855343490804,129.0,79.5,-7.29,-16.94,4979.764985254436
130,79.0,64.0,6.770079197766807,130.0,80.5,-6.21,-15.91,4979.752686046414
131,-5.0,-15.0,2199.1979165814096,131.0,81.5,-6.47,-16.12,4977.524665212228
132,65.0,50.0,4179.089950040889,132.0,82.5,-5.56,-15.26,5019.135564712637
133,47.0,32.0,6517.295863957823,133.0,83.5,-4.78,-14.53,5084.194069499205
134,63.0,48.0,6.770079197766807,134.0,84.5,-3.86,-13.66,5006.239416411738
135,49.0,34.0,1597.424784276539,135.0,85.5,-3.07,-12.92,5022.1536642545025
136,-25.0,-35.0,16512.417454993207,136.0,86.5,-3.08,-12.93,5087.695879800808
137,23.0,8.0,9893.645513077547,137.0,87.5,-2.63,-12.58,5186.552334931584
138,80.0,65.0,0.0,138.0,88.5,-1.5,-11.5,5097.220740558061
139,83.0,68.0,0.0,139.0,89.5,-0.35,-10.4,5027.703520377961
140,-12.0,-17.0,3218.9990643040574,140.0,90.5,-0.24,-10.24,5059.863511021001
141,45.0,30.0,8170.402498051,141.0,91.5,0.48,-9.62,5141.557536001511
142,45.0,30.0,6595.269483968834,142.0,92.5,1.17,-9.03,5207.5102308412
143,77.0,62.0,2184.563998567556,143.0,93.5,2.17,-8.03,5123.4235728928115
144,75.0,60.0,0.0,144.0,94.5,3.82,-6.48,5001.364955459262
145,63.0,48.0,2022.7086300741562,145.0,95.5,5.27,-5.13,4683.374554914035
146,46.0,31.0,5394.239280077158,146.0,96.5,6.04,-4.41,4596.310780270107
147,46.0,31.0,0.0,147.0,97.5,7.26,-3.34,4371.115916026784
148,58.0,43.0,3527.1611644621516,148.0,98.5,8.1,-2.5,4360.223325671406
149,47.0,32.0,8272.705663780562,149.0,99.5,8.88,-1.82,4427.916870672413
150,58.0,43.0,0.0,150.0,100.5,9.81,-0.99,4387.672958944156
151,79.0,64.0,0.0,151.0,101.5,10.97,0.12,4278.49003807799
152,80.0,65.0,0.0,152.0,102.5,12.05,1.15,4278.080391354043
153,58.0,43.0,4295.753570273151,153.0,103.5,12.93,1.88,4298.145926056774
154,60.0,45.0,0.0,154.0,104.5,13.84,2.69,4180.08897852714
155,55.0,40.0,0.0,155.0,105.5,14.58,3.38,4180.08897852714
156,74.0,59.0,0.0,156.0,106.5,15.63,4.38,4030.0246240778138
157,69.0,54.0,0.0,157.0,107.5,16.61,5.31,4030.0246240778138
158,56.0,41.0,6281.817730471175,158.0,108.5,17.39,6.04,4092.682801382525
159,66.0,51.0,0.0,159.0,109.5,18.23,6.83,4050.927622294966
160,57.0,42.0,1114.4597482744398,160.0,110.5,19.12,7.67,4062.0722197777104
161,69.0,54.0,0.0,161.0,111.5,19.98,8.43,4062.0722197777104
162,73.0,58.0,0.0,162.0,112.5,20.96,9.31,4062.0322197777105
163,56.0,41.0,0.0,163.0,113.5,21.7,10.0,4062.0322197777105
164,-7.0,-17.0,1961.3514739742538,164.0,114.5,21.86,10.06,3877.945260808537
165,70.0,55.0,0.0,165.0,115.5,22.7,10.85,3777.548426854607
166,56.0,41.0,0.0,166.0,116.5,23.42,11.52,3777.548426854607
