,reward,performance,loss,episode,episode_smooth,reward_smooth,performance_smooth,loss_smooth
0,-83.0,-83.0,44.0,0.0,,,,
1,-24.0,-39.0,2448.0,1.0,,,,
2,-82.0,-82.0,42.0,2.0,,,,
3,-37.0,-47.0,2430.0,3.0,,,,
4,-23.0,-33.0,11753.860400000001,4.0,,,,
5,-26.0,-36.0,10804.9248517332,5.0,,,,
6,-82.0,-87.0,28801.864234169272,6.0,,,,
7,-69.0,-69.0,31180.594392481198,7.0,,,,
8,-35.0,-40.0,29736.831410019626,8.0,,,,
9,-34.0,-39.0,4323.321516861601,9.0,,,,
10,-82.0,-82.0,20167.362456988227,10.0,,,,
11,-17.0,-27.0,13662.679735423964,11.0,,,,
12,-82.0,-82.0,7674.245020466533,12.0,,,,
13,43.0,33.0,2432.0,13.0,,,,
14,-24.0,-34.0,7070.6603,14.0,,,,
15,-73.0,-78.0,7850.407707102937,15.0,,,,
16,-77.0,-82.0,9877.445594748617,16.0,,,,
17,-83.0,-83.0,17668.9328850735,17.0,,,,
18,-18.0,-23.0,2262.2001,18.0,,,,
19,-30.0,-40.0,4296.321516861601,19.0,,,,
20,-15.0,-20.0,0.0,20.0,,,,
21,-21.0,-31.0,21.0,21.0,,,,
22,-21.0,-31.0,1954.3514739742538,22.0,,,,
23,-18.0,-28.0,9.0,23.0,,,,
24,-11.0,-21.0,0.0,24.0,,,,
25,-25.0,-35.0,9948.52384050331,25.0,,,,
26,-35.0,-45.0,7897.233985362005,26.0,,,,
27,-25.0,-35.0,4072.930295703202,27.0,,,,
28,-15.0,-20.0,8.0,28.0,,,,
29,-25.0,-35.0,8488.5732337232,29.0,,,,
30,-9.0,-19.0,1.0,30.0,,,,
31,-7.0,-17.0,2212.28181801,31.0,,,,
32,-8.0,-18.0,0.0,32.0,,,,
33,-5.0,-15.0,1.0,33.0,,,,
34,-3.0,-13.0,0.0,34.0,,,,
35,-28.0,-33.0,1977.3514739742538,35.0,,,,
36,-9.0,-14.0,1489.351163679818,36.0,,,,
37,-10.0,-15.0,0.0,37.0,,,,
38,-1.0,-6.0,0.0,38.0,,,,
39,-8.0,-13.0,0.0,39.0,,,,
40,0.0,-10.0,0.0,40.0,,,,
41,7.0,-3.0,0.0,41.0,,,,
42,65.0,55.0,2356.2201,42.0,,,,
43,-4.0,-14.0,0.0,43.0,,,,
44,-1.0,-11.0,0.0,44.0,,,,
45,6.0,-4.0,0.0,45.0,,,,
46,6.0,-4.0,0.0,46.0,,,,
47,3.0,-2.0,0.0,47.0,,,,
48,6.0,1.0,0.0,48.0,,,,
49,6.0,1.0,0.0,49.0,,,,
50,-9.0,-19.0,18.0,50.0,,,,
51,13.0,8.0,0.0,51.0,,,,
52,8.0,3.0,0.0,52.0,,,,
53,20.0,10.0,0.0,53.0,,,,
54,11.0,6.0,0.0,54.0,,,,
55,4.0,-6.0,0.0,55.0,,,,
56,5.0,-5.0,0.0,56.0,,,,
57,15.0,5.0,0.0,57.0,,,,
58,16.0,11.0,4024.3911728258545,58.0,,,,
59,10.0,5.0,0.0,59.0,,,,
60,15.0,5.0,0.0,60.0,,,,
61,0.0,-10.0,19.0,61.0,,,,
62,20.0,15.0,0.0,62.0,,,,
63,18.0,8.0,0.0,63.0,,,,
64,19.0,9.0,0.0,64.0,,,,
65,19.0,9.0,0.0,65.0,,,,
66,19.0,9.0,0.0,66.0,,,,
67,19.0,14.0,0.0,67.0,,,,
68,17.0,7.0,0.0,68.0,,,,
69,23.0,13.0,0.0,69.0,,,,
70,26.0,16.0,0.0,70.0,,,,
71,24.0,14.0,0.0,71.0,,,,
72,28.0,23.0,0.0,72.0,,,,
73,28.0,23.0,0.0,73.0,,,,
74,31.0,21.0,0.0,74.0,,,,
75,26.0,16.0,0.0,75.0,,,,
76,23.0,18.0,0.0,76.0,,,,
77,28.0,23.0,0.0,77.0,,,,
78,28.0,23.0,0.0,78.0,,,,
79,31.0,21.0,0.0,79.0,,,,
80,26.0,16.0,0.0,80.0,,,,
81,34.0,24.0,0.0,81.0,,,,
82,31.0,21.0,0.0,82.0,,,,
83,36.0,31.0,0.0,83.0,,,,
84,24.0,14.0,0.0,84.0,,,,
85,37.0,32.0,0.0,85.0,,,,
86,36.0,31.0,0.0,86.0,,,,
87,35.0,30.0,0.0,87.0,,,,
88,39.0,34.0,0.0,88.0,,,,
89,38.0,28.0,0.0,89.0,,,,
90,39.0,29.0,0.0,90.0,,,,
91,38.0,28.0,0.0,91.0,,,,
92,40.0,35.0,0.0,92.0,,,,
93,42.0,37.0,0.0,93.0,,,,
94,39.0,29.0,0.0,94.0,,,,
95,39.0,29.0,0.0,95.0,,,,
96,45.0,40.0,0.0,96.0,,,,
97,46.0,41.0,0.0,97.0,,,,
98,47.0,42.0,0.0,98.0,,,,
99,47.0,42.0,0.0,99.0,49.5,1.5,-6.0,2590.258606796862
